county,firstName,lastName,address,city,state,zip,phoneNumber
Santa Rosa,Robert,Johnson,PO Box 7129,Milton,FL,32572,850/983-1129
Sarasota,Kurt,Hoffman,PO Box 4115,Sarasota,FL,34230,941/378-0951
Seminole,Dennis,Lemma,100 Eslinger Way,Sanford,FL,32773,407/665-6654
St Johns,Rob,Hardwick,4015 Lewis Speedway,St. Augustine,FL,32084,904/810-6782
St Lucie,Ken,Mascara,4700 W Midway Road,Ft Pierce,FL,34981,772/489-5851
Sumter,Bill,Farmer,7361 Powell Road,Wildwood,FL,34785,352/569-1601
Suwannee,Sam,St. John,200 South Ohio/MLK Ave Ste 105,Live Oak,FL,32064,386/362-2222
Taylor,Wayne,Padgett,108 N Jefferson Street Ste 103,Perry,FL,32347,850/584-4225
Union,Brad,Whitehead, 55 W Main Street Room 102,Lake Butler,FL,32054,386/496-2501
Volusia,Michael,Chitwood,PO Box 569 ,DeLand,FL,32721,386/736-5961
Wakulla,Jared,Miller,15 Oak Street,Crawfordville,FL,32327,850/745-7100
Walton,Mike,Adkinson,752 Triple G Road,DeFuniak Springs,FL,32433,850/892-8186
Washington,Kevin,Crews,PO Box 626,Chipley,FL,32428,850/638-6111
