city,county
Eglin AFB,Okaloosa
Egypt Lake-Leto,Hillsborough
El Portal,Miami-Dade
Elfers,Pasco
Ellenton,Manatee
Englewood,Sarasota
Ensley,Escambia
Estates of Fort Lauderdale,Broward
Estero,Lee
Esto,Holmes
Eustis,Lake
Everglades,Collier
Fairview Shores,Orange
Fanning Springs,Levy
Feather Sound,Pinellas
Fellsmere,Indian River
Fern Park,Seminole
Fernandina Beach,Nassau
Ferndale,Lake
Ferry Pass,Escambia
Fish Hawk,Hillsborough
Fisher Island,Miami-Dade
Five Points,Columbia
Flagler Beach,Flagler
Floral City,Citrus
Florida City,Miami-Dade
Florida Ridge,Indian River
Forest City,Seminole
Fort Lauderdale,Broward
Fort Meade,Polk
Fort Myers,Lee
Fort Myers Beach,Lee
Fort Myers Shores,Lee
Fort Pierce,St Lucie
Fort Pierce North,St Lucie
Fort Pierce South,St Lucie
Fort Walton Beach,Okaloosa
Fort White,Columbia
Fountainbleau,Miami-Dade
Franklin Park,Broward
Freeport,Walton
Fremd Village-Padgett Island,Palm Beach
Frostproof,Polk
Fruit Cove,St Johns
Fruitland Park,Lake
Fruitville,Sarasota
Fussels Corner,Polk
Gainesville,Alachua
Gandy,Pinellas
Gateway,Lee
Geneva,Seminole
Gibsonia,Polk
Gibsonton,Hillsborough
Gifford,Indian River
Gladeview,Miami-Dade
Glen Ridge,Palm Beach
Glen St Mary,Baker
Glencoe,Volusia
Glenvar Heights,Miami-Dade
Godfrey Road,Broward
Golden Beach,Miami-Dade
Golden Gate,Collier
Golden Glades,Miami-Dade
Golden Heights,Broward
Golden Lakes,Palm Beach
Goldenrod,Orange
Golf,Palm Beach
Gonzalez,Escambia
Goodland,Collier
Gotha,Orange
Goulding,Escambia
Goulds,Miami-Dade
Graceville,Jackson
Grand Ridge,Jackson
Greater Carrollwood,Hillsborough
Greater Northdale,Hillsborough
Greater Sun Center,Hillsborough
Green Cove Springs,Clay
Green Meadow,Broward
Greenacres,Palm Beach
Greensboro,Gadsden
Greenville,Madison
Greenwood,Jackson
Gretna,Gadsden
Grove City,Charlotte
Groveland,Lake
Gulf Breeze,Santa Rosa
Gulf Gate Estates,Sarasota
Gulf Stream,Palm Beach
Gulfport,Pinellas
Gun Club Estates,Palm Beach
Haines City,Polk
Hallandale,Broward
Hampton,Bradford
Hamptons at Boca Raton,Palm Beach
Harbor Bluffs,Pinellas
Harbour Heights,Charlotte
Harlem,Hendry
Harlem Heights,Lee
Hastings,St Johns
Havana,Gadsden
Haverhill,Palm Beach
Hawthorne,Alachua
Heathrow,Seminole
Hernando,Citrus
Hernando Beach,Hernando
Hialeah,Miami-Dade
Hialeah Gardens,Miami-Dade
High Point,Hernando
High Springs,Alachua
Highland Beach,Palm Beach
Highland City,Polk
Highland Park,Polk
Hiland Park,Bay
Hill 'n Dale,Hernando
Hillcrest Heights,Polk
Hilliard,Nassau
Hillsboro Beach,Broward
Hillsboro Pines,Broward
Hillsboro Ranches,Broward
Hobe Sound,Martin
Holden Heights,Orange
Holiday,Pasco
Holly Hill,Volusia
Hollywood,Broward
Holmes Beach,Manatee
Homestead,Miami-Dade
Homestead Base,Miami-Dade
Homosassa,Citrus
Homosassa Springs,Citrus
Horseshoe Beach,Dixie
Howey-in-the-Hills,Lake
Hudson,Pasco
Hunters Creek,Orange
Hutchinson Island South,St Lucie
Hypoluxo,Palm Beach
Immokalee,Collier
Indialantic,Brevard
Indian Harbour Beach,Brevard
Indian River Estates,St Lucie
Indian River Shores,Indian River
Indian Rocks Beach,Pinellas
Indian Shores,Pinellas
Indiantown,Martin
Inglis,Levy
Interlachen,Putnam
Inverness,Citrus
Inverness Highlands North,Citrus
Inverness Highlands South,Citrus
Inwood,Polk
Iona,Lee
"Islamorada, Village of Islands",Monroe
Islandia,Miami-Dade
Istachatta,Hernando
Ivanhoe Estates,Broward
Ives Estates,Miami-Dade
Jacksonville,Duval
Jacksonville Beach,Duval
Jacob City,Jackson
Jan Phyl Village,Polk
Jasmine Estates,Pasco
Jasper,Hamilton
Jay,Santa Rosa
Jennings,Hamilton
Jensen Beach,Martin
June Park,Brevard
Juno Beach,Palm Beach
Juno Ridge,Palm Beach
Jupiter,Palm Beach
Jupiter Inlet Colony,Palm Beach
Jupiter Island,Martin
Kathleen,Polk
Kendale Lakes,Miami-Dade
Kendall,Miami-Dade
Kendall Green,Broward
Kendall West,Miami-Dade
Kenneth City,Pinellas
Kensington Park,Sarasota
Key Biscayne,Miami-Dade
Key Colony Beach,Monroe
Key Largo,Monroe
Key West,Monroe
Keystone,Hillsborough
Keystone Heights,Clay
Kings Point,Palm Beach
Kissimmee,Osceola
La Crosse,Alachua
Labelle,Hendry
Lacoochee,Pasco
Lady Lake,Lake
Laguna Beach,Bay
Lake Alfred,Polk
Lake Belvedere Estates,Palm Beach
Lake Buena Vista,Orange
Lake Butler,Union
Lake Butter,Orange
Lake City,Columbia
Lake Clarke Shores,Palm Beach
Lake Forest,Broward
Lake Hamilton,Polk
Lake Harbor,Palm Beach
Lake Hart,Orange
Lake Helen,Volusia
Lake Kathryn,Lake
Lake Lindsey,Hernando
Lake Lorraine,Okaloosa
Lake Lucerne,Miami-Dade
Lake Mack-Forest Hills,Lake
Lake Magdalene,Hillsborough
Lake Mary,Seminole
Lake Panasoffkee,Sumter
Lake Park,Palm Beach
Lake Placid,Highlands
Lake Sarasota,Sarasota
Lake Wales,Polk
Lake Worth,Palm Beach
Lake Worth Corridor,Palm Beach
Lakeland,Polk
Lakeland Highlands,Polk
Lakes by the Bay,Miami-Dade
Lakeside,Clay
Lakeside Green,Palm Beach
Lakewood Park,St Lucie
Land O' Lakes,Pasco
Lantana,Palm Beach
Largo,Pinellas
Lauderdale-by-the-Sea,Broward
Lauderdale Lakes,Broward
Lauderhill,Broward
Laurel,Sarasota
Laurel Hill,Okaloosa
Lawtey,Bradford
Layton,Monroe
Lazy Lake,Broward
Lecanto,Citrus
Lee,Madison
Leesburg,Lake
Lehigh Acres,Lee
Leisure City,Miami-Dade
Leisureville,Broward
Lely,Collier
Lely Resort,Collier
Lighthouse Point,Broward
Limestone Creek,Palm Beach
Lisbon,Lake
Live Oak,Suwannee
Loch Lomond,Broward
Lochmoor Waterway Estates,Lee
Lockhart,Orange
Longboat Key,Sarasota
Longwood,Seminole
Loughman,Polk
Lower Grand Lagoon,Bay
Lutz,Hillsborough
Lynn Haven,Bay
Macclenny,Baker
Madeira Beach,Pinellas
Madison,Madison
Maitland,Orange
Malabar,Brevard
Malone,Jackson
Manalapan,Palm Beach
Manasota Key,Charlotte
Manattee Road,Levy
Mango,Hillsborough
Mangonia Park,Palm Beach
Marathon,Monroe
Marco Island,Collier
Margate,Broward
Marianna,Jackson
Marineland,Flagler
Mary Esther,Okaloosa
Masaryktown,Hernando
Mascotte,Lake
Matlacha,Lee
Matlacha Isles-Matlacha Shores,Lee
Mayo,Lafayette
McGregor,Lee
McIntosh,Marion
Meadow Woods,Orange
Medley,Miami-Dade
Medulla,Polk
Melbourne,Brevard
Melbourne Beach,Brevard
Melbourne Village,Brevard
Melrose Park,Broward
Memphis,Manatee
Merritt Island,Brevard
Mexico Beach,Bay
Miami,Miami-Dade
Miami Beach,Miami-Dade
Miami Gardens,Broward
Miami Lakes,Miami-Dade
Miami Shores,Miami-Dade
Miami Springs,Miami-Dade
Micanopy,Alachua
Micco,Brevard
Middleburg,Clay
Midway,Seminole
Milton,Santa Rosa
Mims,Brevard
Minneola,Lake
Miramar,Broward
Miramar Beach,Walton
Mission Bay,Palm Beach
Molino,Escambia
Monticello,Jefferson
Montverde,Lake
Moore Haven,Glades
Mount Dora,Lake
Mount Plymouth,Lake
Mulberry,Polk
Myrtle Grove,Escambia
Naples,Collier
Naples Manor,Collier
Naples Park,Collier
Naranja,Miami-Dade
Nassau Village-Ratliff,Nassau
Neptune Beach,Duval
New Port Richey,Pasco
New Port Richey East,Pasco
New Smyrna Beach,Volusia
Newberry,Alachua
Niceville,Okaloosa
Nobleton,Hernando
Nokomis,Sarasota
Noma,Holmes
Norland,Miami-Dade
North Andrews Gardens,Broward
North Beach,Indian River
North Brooksville,Hernando
North De Land,Volusia
North Fort Myers,Lee
North Key Largo,Monroe
North Lauderdale,Broward
North Miami,Miami-Dade
North Miami Beach,Miami-Dade
North Palm Beach,Palm Beach
North Port,Sarasota
North Redington Beach,Pinellas
North River Shores,Martin
North Sarasota,Sarasota
North Weeki Wachee,Hernando
Oak Hill,Volusia
Oak Point,Broward
Oak Ridge,Orange
Oakland,Orange
Oakland Park,Broward
Ocala,Marion
Ocean Breeze Park,Martin
Ocean City,Okaloosa
Ocean Ridge,Palm Beach
Ocoee,Orange
Odessa,Pasco
Ojus,Miami-Dade
Okahumpka,Lake
Okeechobee,Okeechobee
Oldsmar,Pinellas
Olga,Lee
Olympia Heights,Miami-Dade
Opa-locka,Miami-Dade
Opa-locka North,Miami-Dade
Orange City,Volusia
Orange Park,Clay
Orangetree,Collier
Orchid,Indian River
Orlando,Orange
Orlovista,Orange
Ormond-By-The-Sea,Volusia
Ormond Beach,Volusia
Osprey,Sarasota
Otter Creek,Levy
Oviedo,Seminole
Pace,Santa Rosa
Page Park,Lee
Pahokee,Palm Beach
Paisley,Lake
Palatka,Putnam
Palm Aire,Broward
Palm Bay,Brevard
Palm Beach,Palm Beach
Palm Beach Gardens,Palm Beach
Palm Beach Shores,Palm Beach
Palm City,Martin
Palm Coast,Flagler
Palm Harbor,Pinellas
Palm River-Clair Mel,Hillsborough
Palm Shores,Brevard
Palm Springs,Palm Beach
Palm Springs North,Miami-Dade
Palm Valley,St Johns
Palmetto,Manatee
Palmetto Estates,Miami-Dade
Palmona Park,Lee
Panama City,Bay
Panama City Beach,Bay
Paradise Heights,Orange
Parker,Bay
Parkland,Broward
Paxton,Walton
Pebble Creek,Hillsborough
Pelican Bay,Collier
Pembroke Park,Broward
Pembroke Pines,Broward
Penney Farms,Clay
Pensacola,Escambia
Perry,Taylor
Pierson,Volusia
Pine Castle,Orange
Pine Hills,Orange
Pine Island Center,Lee
Pine Island Ridge,Broward
Pine Lakes,Lake
Pine Manor,Lee
Pine Ridge,Citrus
Pinecrest,Miami-Dade
Pineland,Lee
Pinellas Park,Pinellas
Pinewood,Miami-Dade
Pittman,Lake
Placid Lakes,Highlands
Plant City,Hillsborough
Plantation,Broward
Plantation Island,Collier
Plantation Mobile Home Park,Palm Beach
Poinciana,Osceola
Polk City,Polk
Pomona Park,Putnam
Pompano Beach,Broward
Pompano Beach Highlands,Broward
Pompano Estates,Broward
Ponce de Leon,Holmes
Ponce Inlet,Volusia
Port Charlotte,Charlotte
Port La Belle,Hendry
Port Orange,Volusia
Port Richey,Pasco
Port Salerno,Martin
Port St Joe,Gulf
Port St John,Brevard
Port St Lucie,St Lucie
Pretty Bayou,Bay
Princeton,Miami-Dade
Progress Village,Hillsborough
Punta Gorda,Charlotte
Punta Rassa,Lee
Quincy,Gadsden
Raiford,Union
Ramblewood East,Broward
Ravenswood Estates,Broward
Reddick,Marion
Redington Beach,Pinellas
Redington Shores,Pinellas
Richmond Heights,Miami-Dade
Richmond West,Miami-Dade
Ridge Manor,Hernando
Ridge Wood Heights,Sarasota
Ridgecrest,Pinellas
Rio,Martin
Riverland,Broward
Riverview,Hillsborough
Riviera Beach,Palm Beach
Rock Island,Broward
Rockledge,Brevard
Rolling Oaks,Broward
Roosevelt Gardens,Broward
Roseland,Indian River
Rotonda,Charlotte
Royal Palm Beach,Palm Beach
Royal Palm Estates,Palm Beach
Royal Palm Ranches,Broward
Ruskin,Hillsborough
Safety Harbor,Pinellas
Samoset,Manatee
Samsula-Spruce Creek,Volusia
San Antonio,Pasco
San Carlos Park,Lee
Sandalfoot Cove,Palm Beach
Sanford,Seminole
Sanibel,Lee
Sarasota,Sarasota
Sarasota Springs,Sarasota
Satellite Beach,Brevard
Sawgrass,St Johns
Schall Circle,Palm Beach
Scott Lake,Miami-Dade
Sea Ranch Lakes,Broward
Sebastian,Indian River
Sebring,Highlands
Seffner,Hillsborough
Seminole,Pinellas
Seminole Manor,Palm Beach
Sewall's Point,Martin
Shady Hills,Pasco
Shalimar,Okaloosa
Sharpes,Brevard
Siesta Key,Sarasota
Silver Lake,Lake
Silver Springs Shores,Marion
Sky Lake,Orange
Sneads,Jackson
Solana,Charlotte
Sopchoppy,Wakulla
Sorrento,Lake
South Apopka,Orange
South Bay,Palm Beach
South Beach,Indian River
South Bradenton,Manatee
South Brooksville,Hernando
South Daytona,Volusia
South Gate Ridge,Sarasota
South Highpoint,Pinellas
South Miami,Miami-Dade
South Miami Heights,Miami-Dade
South Palm Beach,Palm Beach
South Pasadena,Pinellas
South Patrick Shores,Brevard
South Sarasota,Sarasota
South Venice,Sarasota
Southchase,Orange
Southeast Arcadia,DeSoto
Southgate,Sarasota
Spring Hill,Hernando
Spring Lake,Hernando
Springfield,Bay
St Augustine,St Johns
St Augustine Beach,St Johns
St Augustine Shores,St Johns
St Augustine South,St Johns
St Cloud,Osceola
St George,Broward
St James City,Lee
St Leo,Pasco
St Lucie,St Lucie
St Marks,Wakulla
St Pete Beach,Pinellas
St Petersburg,Pinellas
Stacey Street,Palm Beach
Starke,Bradford
Stock Island,Monroe
Stuart,Martin
Sugarmill Woods,Citrus
Suncoast Estates,Lee
Sunny Isles Beach,Miami-Dade
Sunrise,Broward
Sunset,Miami-Dade
Sunshine Acres,Broward
Sunshine Ranches,Broward
Surfside,Miami-Dade
Sweetwater,Miami-Dade
Sylvan Shores,Highlands
Taft,Orange
Tallahassee,Leon
Tamarac,Broward
Tamiami,Miami-Dade
Tampa,Hillsborough
Tangelo Park,Orange
Tangerine,Orange
Tarpon Springs,Pinellas
Tavares,Lake
Tavernier,Monroe
Taylor Creek,Okeechobee
Tedder,Broward
Temple Terrace,Hillsborough
Tequesta,Palm Beach
Terra Mar,Broward
The Crossings,Miami-Dade
The Hammocks,Miami-Dade
The Meadows,Sarasota
The Villages,Sumter
Thonotosassa,Hillsborough
Three Lakes,Miami-Dade
Three Oaks,Lee
Tice,Lee
Tierra Verde,Pinellas
Tildenville,Orange
Timber Pines,Hernando
Titusville,Brevard
Town 'n' Country,Hillsborough
Treasure Island,Pinellas
Trenton,Gilchrist
Trinity,Pasco
Twin Lakes,Broward
Tyndall AFB,Bay
Umatilla,Lake
Union Park,Orange
University,Hillsborough
University Park,Miami-Dade
Upper Grand Lagoon,Bay
Utopia,Broward
Valparaiso,Okaloosa
Valrico,Hillsborough
Vamo,Sarasota
Venice,Sarasota
Venice Gardens,Sarasota
Vernon,Washington
Vero Beach,Indian River
Vero Beach South,Indian River
Village Park,Broward
Villages of Oriole,Palm Beach
Villano Beach,St Johns
Villas,Lee
Vineyards,Collier
Virginia Gardens,Miami-Dade
Wabasso,Indian River
Wabasso Beach,Indian River
Wahneta,Polk
Waldo,Alachua
Warm Mineral Springs,Sarasota
Warrington,Escambia
Washington Park,Broward
Watertown,Columbia
Wauchula,Hardee
Wausau,Washington
Waverly,Polk
Webster,Sumter
Wedgefield,Orange
Weeki Wachee,Hernando
Weeki Wachee Gardens,Hernando
Wekiwa Springs,Seminole
Welaka,Putnam
Wellington,Palm Beach
Wesley Chapel,Pasco
Wesley Chapel South,Pasco
West and East Lealman,Pinellas
West Bradenton,Manatee
West De Land,Volusia
West Ken-Lark,Broward
West Little River,Miami-Dade
West Melbourne,Brevard
West Miami,Miami-Dade
West Palm Beach,Palm Beach
West Pensacola,Escambia
West Perrine,Miami-Dade
West Samoset,Manatee
West Vero Corridor,Indian River
Westchase,Hillsborough
Westchester,Miami-Dade
Westgate-Belvedere Homes,Palm Beach
Weston,Broward
Westview,Miami-Dade
Westville,Holmes
Westwood Lakes,Miami-Dade
Wewahitchka,Gulf
Whiskey Creek,Lee
Whisper Walk,Palm Beach
White City,St Lucie
White Springs,Hamilton
Whitfield,Manatee
Wildwood,Sumter
Williamsburg,Orange
Williston,Levy
Williston Highlands,Levy
Willow Oak,Polk
Wilton Manors,Broward
Wimauma,Hillsborough
Windermere,Orange
Winston,Polk
Winter Beach,Indian River
Winter Garden,Orange
Winter Haven,Polk
Winter Park,Orange
Winter Springs,Seminole
Woodville,Leon
Worthington Springs,Union
Wright,Okaloosa
Yalaha,Lake
Yankeetown,Levy
Yulee,Nassau
Zellwood,Orange
Zephyrhills,Pasco
Zephyrhills North,Pasco
Zephyrhills South,Pasco
Zephyrhills West,Pasco
Zolfo Springs,Hardee
